capability_id,domain,title,mapped,coverage_dimensions,backend,routes,database,events,web,mobile,tests,governance
IRR-005,irrigation,Irrigation recommendation,True,5,3,2,0,4,3,0,6,0
IRR-006,irrigation,Irrigation scheduling,True,2,0,0,0,2,0,0,1,0
IRR-007,irrigation,Pump and valve control,False,0,0,0,0,0,0,0,0,0
IRR-008,irrigation,Execution verification,True,1,0,0,17,0,0,0,0,0
IRR-009,irrigation,Water suitability multi-hazard,True,6,8,1,7,9,1,0,10,0
IRR-010,irrigation,Leaching and drainage safety,False,0,0,0,0,0,0,0,0,0
OPS-001,operations,Task management,False,0,0,0,0,0,0,0,0,0
OPS-002,operations,Work orders,True,6,3,7,7,1,1,0,4,0
OPS-003,operations,Scouting,True,7,9,7,7,45,22,1,18,0
OPS-004,operations,Field forms,True,6,3,12,15,10,0,12,20,1
OPS-005,operations,Offline mobile,True,6,2,2,9,6,1,0,1,0
OPS-006,operations,Equipment registry,False,0,0,0,0,0,0,0,0,0
OPS-007,operations,Maintenance,True,3,0,0,3,1,0,0,2,0
OPS-008,operations,Workforce and worker identity,False,0,0,0,0,0,0,0,0,0
PA-001,precision,Management zones,True,5,9,33,8,1,0,0,7,0
PA-002,precision,Variable rate prescription,True,1,1,0,0,0,0,0,0,0
PA-003,precision,Yield map ingestion,True,5,3,3,10,2,0,0,3,0
PA-004,precision,As-applied data,True,4,1,0,18,2,0,0,1,0
PA-005,precision,Machine telemetry,True,1,1,0,0,0,0,0,0,0
SAT-001,satellite,Satellite scene search,True,6,36,65,3,32,5,0,41,0
SAT-002,satellite,True color imagery,True,4,1,1,0,1,0,0,3,0
SAT-003,satellite,NDVI,True,7,100,82,42,100,49,6,100,0
SAT-004,satellite,NDMI,True,6,19,10,5,14,7,0,20,0
SAT-005,satellite,Cloud screening,True,4,8,24,0,1,0,0,9,0
SAT-006,satellite,Historical imagery timeline,True,3,1,0,0,1,0,0,2,0
SAT-007,satellite,Change detection,True,3,2,1,0,0,0,0,3,0
SAT-008,satellite,Stress zones,True,5,3,1,7,4,0,0,5,0
SAT-009,satellite,COG persistence and tiling,True,5,12,68,0,12,1,0,21,0
SEC-001,security,Tenant RLS,True,5,14,36,100,46,0,0,55,0
SEC-002,security,Signed tenant assertion,True,1,0,0,0,0,0,0,1,0
SEC-003,security,Worker identity binding,True,2,1,0,0,0,0,0,1,0
SEC-004,security,MFA,True,7,7,21,23,4,5,4,15,0
SEC-005,security,Audit logging,True,2,0,0,4,0,0,0,1,0
SEC-006,security,Service token guard,True,4,2,7,0,1,0,0,8,0
SEC-007,security,Decision SoR DB ownership,True,4,2,0,9,47,0,0,9,0
SEC-008,security,Secrets and production fail-closed,True,2,0,0,0,1,0,0,6,0
SOIL-001,soil,Soil profile,True,6,13,91,14,35,1,0,13,1
SOIL-002,soil,Soil sampling,True,6,14,35,9,6,5,0,11,0
SOIL-003,soil,Laboratory results,True,2,1,0,15,0,0,0,0,0
SOIL-004,soil,pH EC SOM nutrients,True,4,1,0,7,3,0,0,1,0
SOIL-005,soil,Soil water properties,True,3,5,0,0,2,0,0,2,0
WX-001,weather,Current weather,False,0,0,0,0,0,0,0,0,0
WX-002,weather,Weather forecast,True,6,22,51,9,56,9,0,21,0
WX-003,weather,Weather history,True,4,4,6,4,0,0,0,4,0
WX-004,weather,ET0,True,5,59,53,0,78,19,0,57,0
WX-005,weather,VPD,True,5,8,29,0,6,2,0,6,0
WX-006,weather,GDD,True,6,84,26,33,26,15,0,44,0
WX-007,weather,Frost and heat risk,True,1,1,0,0,0,0,0,0,0
WX-008,weather,Operation windows,True,4,2,6,0,1,0,0,2,0
WX-009,weather,Disease weather models,True,4,2,29,0,0,2,0,1,0
WX-010,weather,Weather provenance and quality,True,3,1,0,0,2,0,0,1,0
