capability_id,title,domain,declared_maturity,assessed_maturity,alignment,evidence_score,documentation,backend,api,database,events,web,mobile,unit_tests,integration_tests,runtime_instrumentation,runtime_verified,production_certified
SAT-007,Change detection,satellite,3,2,declared_above_evidence,4,True,True,True,False,False,False,False,True,False,False,False,False
SAT-008,Stress zones,satellite,3,2,declared_above_evidence,6,True,True,True,True,True,False,False,True,False,False,False,False
SAT-009,COG persistence and tiling,satellite,3,3,aligned,7,True,True,True,False,True,True,False,True,True,False,False,False
SEC-001,Tenant RLS,security,3,3,aligned,7,True,True,True,True,True,False,False,True,True,False,False,False
SEC-002,Signed tenant assertion,security,3,1,declared_above_evidence,2,True,False,False,False,False,False,False,True,False,False,False,False
SEC-003,Worker identity binding,security,3,1,declared_above_evidence,4,True,True,False,False,False,False,False,True,False,True,False,False
SEC-004,MFA,security,3,3,aligned,10,True,True,True,True,True,True,True,True,True,True,False,False
SEC-005,Audit logging,security,3,2,declared_above_evidence,5,True,False,True,True,False,False,False,True,False,True,False,False
SEC-006,Service token guard,security,3,3,aligned,7,True,True,True,False,True,False,False,True,True,True,False,False
SEC-007,Decision SoR DB ownership,security,3,1,declared_above_evidence,5,True,True,False,True,True,False,False,True,False,False,False,False
SEC-008,Secrets and production fail-closed,security,3,1,declared_above_evidence,4,True,False,False,False,True,False,False,True,False,True,False,False
SOIL-001,Soil profile,soil,3,3,aligned,8,True,True,True,True,True,True,False,True,True,False,False,False
SOIL-002,Soil sampling,soil,3,2,declared_above_evidence,7,True,True,True,True,True,True,False,True,False,False,False,False
SOIL-003,Laboratory results,soil,3,1,declared_above_evidence,4,True,True,True,True,False,False,False,False,False,False,False,False
SOIL-004,pH EC SOM nutrients,soil,3,2,declared_above_evidence,3,True,False,True,False,False,False,False,True,False,False,False,False
SOIL-005,Soil water properties,soil,3,1,declared_above_evidence,4,True,True,False,False,True,False,False,True,False,False,False,False
WX-001,Current weather,weather,3,2,declared_above_evidence,3,True,False,True,False,False,False,False,True,False,False,False,False
WX-002,Weather forecast,weather,3,3,aligned,8,True,True,True,True,True,True,False,True,True,False,False,False
WX-003,Weather history,weather,3,3,aligned,6,True,True,True,True,False,False,False,True,True,False,False,False
WX-004,ET0,weather,3,3,aligned,7,True,True,True,False,True,True,False,True,True,False,False,False
WX-005,VPD,weather,3,2,declared_above_evidence,6,True,True,True,False,True,True,False,True,False,False,False,False
WX-006,GDD,weather,3,3,aligned,8,True,True,True,True,True,True,False,True,True,False,False,False
WX-007,Frost and heat risk,weather,3,1,declared_above_evidence,2,True,True,False,False,False,False,False,False,False,False,False,False
WX-008,Operation windows,weather,3,2,declared_above_evidence,5,True,True,True,False,True,False,False,True,False,False,False,False
WX-009,Disease weather models,weather,3,2,declared_above_evidence,5,True,True,True,False,False,True,False,True,False,False,False,False
WX-010,Weather provenance and quality,weather,3,1,declared_above_evidence,4,True,True,False,False,True,False,False,True,False,False,False,False
