compose_file,service,env_keys,interpolated_refs,missing_refs
docker-compose.v9.yml,sahool-edge,7,"EDGE_DEVICE, EDGE_SYNC_TOKEN, OFFLINE_MODE, SAHOOL_AGENT_TOKEN, SYNC_INTERVAL",
docker-compose.v9.yml,sahool-local-ai-rag,9,"JWT_SECRET, QDRANT_API_KEY, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-rag-retrieval,4,"EMBEDDING_DIM, QDRANT_API_KEY, QDRANT_COLLECTION",
docker-compose.v9.yml,sahool-knowledge-graph,1,,
docker-compose.v9.yml,sahool-ai-agronomist,7,"SAHOOL_AGENT_REDIS_URL, SAHOOL_AGENT_STORE_BACKEND, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-qdrant-seed,5,QDRANT_API_KEY,
docker-compose.v9.yml,sahool-erp-bridge,10,"DATABASE_URL, ERPNEXT_API_KEY, ERPNEXT_API_SECRET, ERPNEXT_URL, ERP_PROVIDER, JWT_SECRET, ODOO_DB, ODOO_PASSWORD, ODOO_URL, ODOO_USER",
docker-compose.v9.yml,sahool-odoo,4,"DB_PASSWORD, ODOO_DB",
docker-compose.v9.yml,sahool-telegram-bot,8,"DATABASE_URL, REDIS_PASSWORD, TELEGRAM_BOT_TOKEN, TELEGRAM_WEBHOOK_SECRET",
docker-compose.v9.yml,sahool-notification-agent,10,"DATABASE_URL, REDIS_PASSWORD, SAHOOL_AGENT_TOKEN, SMTP_FROM, SMTP_HOST, SMTP_PASSWORD, SMTP_PORT, SMTP_USER",
docker-compose.v9.yml,sahool-frontend,2,"VITE_API_URL, VITE_WS_URL",
docker-compose.v9.yml,sahool-prometheus,0,,
docker-compose.v9.yml,sahool-alertmanager,0,,
docker-compose.v9.yml,sahool-grafana,1,GRAFANA_PASSWORD,
docker-compose.v9.yml,sahool-jaeger,1,,
docker-compose.v9.yml,sahool-soil-service,3,"DATABASE_URL, SAHOOL_AGENT_TOKEN",
docker-compose.v9.yml,sahool-field-segmentation,6,"EXG_MAX_IMAGE_PIXELS, EXG_MAX_SIDE, SAHOOL_AGENT_TOKEN, SEGMENTATION_BACKEND, SEGMENTATION_INFERENCE_URL, SEGMENTATION_MODEL_PATH",
docker-compose.v9.yml,sahool-sam2-inference,5,"SAHOOL_AGENT_TOKEN, SAM2_CHECKPOINT, SAM2_MODEL_CFG, SAM2_POLYGON_DEDUP_TOLERANCE_M, SAM2_POLYGON_SIMPLIFY_TOLERANCE_M",
docker-compose.v9.yml,sahool-phase-runtime-outbox-worker,10,"DATABASE_URL, JOBS_DATABASE_URL, MODEL_SERVING_ROLLBACK_ENABLED, NATS_URL, OUTBOX_MAX_ATTEMPTS, PHASE_RUNTIME_PERSISTENCE_REQUIRED, PHYSICAL_ACTUATION_ENABLED, PLUGIN_EXECUTION_ENABLED, SAHOOL_ENV, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-plugin-runtime-worker,10,"DATABASE_URL, JOBS_DATABASE_URL, MODEL_SERVING_ROLLBACK_ENABLED, NATS_URL, OUTBOX_MAX_ATTEMPTS, PHASE_RUNTIME_PERSISTENCE_REQUIRED, PHYSICAL_ACTUATION_ENABLED, PLUGIN_EXECUTION_ENABLED, SAHOOL_ENV, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-model-registry-worker,10,"DATABASE_URL, JOBS_DATABASE_URL, MODEL_SERVING_ROLLBACK_ENABLED, NATS_URL, OUTBOX_MAX_ATTEMPTS, PHASE_RUNTIME_PERSISTENCE_REQUIRED, PHYSICAL_ACTUATION_ENABLED, PLUGIN_EXECUTION_ENABLED, SAHOOL_ENV, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-actuator-dispatch-worker,10,"DATABASE_URL, JOBS_DATABASE_URL, MODEL_SERVING_ROLLBACK_ENABLED, NATS_URL, OUTBOX_MAX_ATTEMPTS, PHASE_RUNTIME_PERSISTENCE_REQUIRED, PHYSICAL_ACTUATION_ENABLED, PLUGIN_EXECUTION_ENABLED, SAHOOL_ENV, WORKER_POLL_SECONDS",
docker-compose.v9.yml,sahool-zlmediakit-config,1,ZLMEDIAKIT_API_SECRET,
docker-compose.v9.yml,sahool-zlmediakit,2,"TZ, ZLMEDIAKIT_API_SECRET",
frontend/docker-compose.web.yml,sahool-web,0,,
