id,title,service,api,test,metrics,traces,receipts,audit_events,runtime_proof,production_proof,gates_passed,gates_total,readiness_percent,eligible_for_certification,certified
PA-003,Yield map ingestion,False,False,False,False,False,False,False,False,False,0,9,0.0,False,False
PA-004,As-applied data,False,False,True,False,False,False,False,False,False,1,9,11.1,False,False
PA-005,Machine telemetry,False,True,True,False,False,False,False,False,False,2,9,22.2,False,False
OPS-001,Task management,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
OPS-002,Work orders,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
OPS-003,Scouting,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
OPS-004,Field forms,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
OPS-005,Offline mobile,False,True,True,False,False,False,False,False,False,2,9,22.2,False,False
OPS-006,Equipment registry,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
OPS-007,Maintenance,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
OPS-008,Workforce and worker identity,True,False,True,True,False,False,False,False,False,3,9,33.3,False,False
DEC-001,Decision evidence,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-002,Decision candidate,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
DEC-003,Human approval,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-004,Execution request,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-005,Dispatch authorization,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-006,Execution receipt,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-007,Outcome recording,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-008,Learning attribution,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
DEC-009,Model calibration,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
DEC-010,Model lifecycle and activation,True,True,True,False,False,True,False,False,False,4,9,44.4,False,False
SEC-001,Tenant RLS,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
SEC-002,Signed tenant assertion,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
SEC-003,Worker identity binding,True,False,True,True,False,False,False,False,False,3,9,33.3,False,False
SEC-004,MFA,True,True,True,True,False,False,False,False,False,4,9,44.4,False,False
SEC-005,Audit logging,True,True,True,True,False,False,False,False,False,4,9,44.4,False,False
SEC-006,Service token guard,True,False,True,True,False,False,False,False,False,3,9,33.3,False,False
SEC-007,Decision SoR DB ownership,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
SEC-008,Secrets and production fail-closed,True,False,True,True,False,False,False,False,False,3,9,33.3,False,False
INT-001,Public API and SDK,True,True,False,False,False,False,False,False,False,2,9,22.2,False,False
INT-002,Event bus integration,True,False,True,False,False,False,False,False,False,2,9,22.2,False,False
INT-003,IoT and sensors,True,True,True,False,False,False,False,False,False,3,9,33.3,False,False
INT-004,External machinery integrations,False,False,False,False,False,False,False,False,False,0,9,0.0,False,False
