id,title,domain,owner,services,apis,tests,ui_consumers,mobile_consumers,evidence,traceability_score,gaps
OPS-006,Equipment registry,operations,sahool-platform,1,4,3,0,1,5,83,ui
OPS-007,Maintenance,operations,sahool-platform,1,2,0,0,0,0,50,"test,ui,mobile"
OPS-008,Workforce and worker identity,operations,auth,1,0,1,0,0,0,50,"api,ui,mobile"
PA-001,Management zones,precision,vegetation-analysis-service,1,3,5,0,0,5,67,"ui,mobile"
PA-002,Variable rate prescription,precision,vegetation-analysis-service,1,5,5,0,0,5,67,"ui,mobile"
PA-003,Yield map ingestion,precision,UNASSIGNED,0,3,2,0,0,3,33,"service,ui,mobile,owner"
PA-004,As-applied data,precision,UNASSIGNED,0,0,1,0,0,3,17,"service,api,ui,mobile,owner"
PA-005,Machine telemetry,precision,UNASSIGNED,0,3,1,0,0,3,33,"service,ui,mobile,owner"
SAT-001,Satellite scene search,satellite,raster-service,1,26,25,0,1,5,83,ui
SAT-002,True color imagery,satellite,raster-service,1,0,1,0,0,0,50,"api,ui,mobile"
SAT-003,NDVI,satellite,raster-service+vegetation-analysis-service,2,3,10,0,0,3,67,"ui,mobile"
SAT-004,NDMI,satellite,raster-service+vegetation-analysis-service,2,0,0,0,0,0,33,"api,test,ui,mobile"
SAT-005,Cloud screening,satellite,raster-service,1,30,8,0,0,5,67,"ui,mobile"
SAT-006,Historical imagery timeline,satellite,raster-service,1,16,23,1,0,5,83,mobile
SAT-007,Change detection,satellite,raster-service,1,5,4,0,0,2,67,"ui,mobile"
SAT-008,Stress zones,satellite,vegetation-analysis-service,1,5,9,0,0,5,67,"ui,mobile"
SAT-009,COG persistence and tiling,satellite,raster-service,1,40,25,0,0,5,67,"ui,mobile"
SEC-001,Tenant RLS,security,field-management-service,1,0,21,0,0,5,50,"api,ui,mobile"
SEC-002,Signed tenant assertion,security,field-management-service,1,0,1,0,0,4,50,"api,ui,mobile"
SEC-003,Worker identity binding,security,auth,1,0,1,0,0,3,50,"api,ui,mobile"
SEC-004,MFA,security,auth,1,3,7,0,1,5,83,ui
SEC-005,Audit logging,security,auth,1,3,12,0,0,5,67,"ui,mobile"
SEC-006,Service token guard,security,auth,1,0,4,0,0,1,50,"api,ui,mobile"
SEC-007,Decision SoR DB ownership,security,decision-service,1,0,9,0,0,6,50,"api,ui,mobile"
SEC-008,Secrets and production fail-closed,security,auth,1,0,10,0,0,4,50,"api,ui,mobile"
SOIL-001,Soil profile,soil,soil-service,1,2,2,0,0,1,67,"ui,mobile"
SOIL-002,Soil sampling,soil,soil-service,1,15,2,0,0,4,67,"ui,mobile"
SOIL-003,Laboratory results,soil,soil-service,1,2,0,0,0,0,50,"test,ui,mobile"
SOIL-004,pH EC SOM nutrients,soil,soil-service,1,1,4,0,0,3,67,"ui,mobile"
SOIL-005,Soil water properties,soil,soil-service,1,0,2,0,0,1,50,"api,ui,mobile"
WX-001,Current weather,weather,weather-service,1,2,0,0,0,0,50,"test,ui,mobile"
WX-002,Weather forecast,weather,weather-service,1,2,0,0,0,0,50,"test,ui,mobile"
WX-003,Weather history,weather,weather-service,1,4,0,0,0,1,50,"test,ui,mobile"
WX-004,ET0,weather,weather-service,1,2,6,0,0,1,67,"ui,mobile"
WX-005,VPD,weather,weather-service,1,1,2,0,0,2,67,"ui,mobile"
WX-006,GDD,weather,weather-service,1,2,10,0,0,5,67,"ui,mobile"
WX-007,Frost and heat risk,weather,weather-service,1,0,0,0,0,0,33,"api,test,ui,mobile"
WX-008,Operation windows,weather,weather-service,1,3,0,0,0,0,50,"test,ui,mobile"
WX-009,Disease weather models,weather,weather-service,1,2,2,0,0,1,67,"ui,mobile"
WX-010,Weather provenance and quality,weather,weather-service,1,0,7,0,0,5,50,"api,ui,mobile"
